id,y_true,y_pred,absolute_error
1736074787.262144,109.0,156.8133580599175,47.81335805991751
1736074797.292168,217.0,180.13119806631482,36.86880193368518
1736074807.328689,55.0,42.64913432963907,12.350865670360932
1736074817.36936,154.0,159.34185386962795,5.341853869627954
1736074827.168614,89.0,115.86775938785144,26.86775938785144
1736074837.197159,107.0,179.47709948062067,72.47709948062067
1736074847.235155,160.0,114.83926457785545,45.16073542214456
1736074857.468508,160.0,117.99621449150408,42.00378550849592
1736074867.492628,216.0,170.65576194574703,45.34423805425297
1736074877.514887,86.0,155.22757789951248,69.22757789951248
1736074887.538459,306.0,249.1507407188866,56.849259281113405
1736074897.557447,232.0,189.1949996925188,42.80500030748124
1736074907.576898,84.0,124.02160620505909,40.021606205059086
1736074917.593958,48.0,192.59955487492223,144.59955487492223
1736074927.612465,140.0,128.82556725044935,11.174432749550649
1736074937.627787,131.0,129.05329822369723,1.9467017763027457
1736074947.643989,230.0,139.54441925319114,90.45558074680886
1736074957.663468,258.0,234.58534354544747,23.414656454552528
1736074967.682117,253.0,122.05953122619384,130.94046877380617
1736074977.701985,332.0,220.67470467262453,111.32529532737549
1736074987.721213,96.0,85.25929885962952,10.740701140370476
1736074997.740021,85.0,179.0931004382055,94.09310043820551
